Axial_load,Confining_Pressure,Displesment,Pore_Pressure
26.760,63.230,17.407,0.910
26.750,63.330,17.431,0.910
26.890,63.330,17.457,0.910
26.850,63.330,17.482,0.850
26.920,63.430,17.508,0.800
26.460,63.430,17.534,0.800
26.470,63.470,17.560,0.750
26.520,63.520,17.588,0.750
26.610,63.570,17.613,0.750
26.670,63.570,17.639,0.750
26.660,62.850,17.664,0.270
26.820,62.900,17.685,0.270
26.750,62.950,17.713,0.210
26.800,62.950,17.740,0.210
26.580,63.040,17.765,0.160
26.780,63.040,17.792,0.110
26.860,63.040,17.818,0.110
27.050,63.090,17.843,0.050
26.950,63.140,17.875,0.000
27.180,63.140,17.899,0.000
27.230,63.230,17.925,-0.050
27.310,63.230,17.951,-0.050
27.450,63.330,17.978,-0.100
27.340,63.330,18.002,-0.160
27.350,63.380,18.029,-0.160
27.040,63.430,18.058,-0.210
27.090,63.430,18.080,-0.260
